time,GPS1,GPS2,sum_ABC
10:06:44,49.7465,13.3751,571
10:06:47,49.7464,13.3751,551
10:06:48,49.7464,13.375,418
10:06:49,49.7463,13.375,560
10:06:50,49.7462,13.3749,560
10:06:51,49.7462,13.3749,421
10:06:52,49.7462,13.375,481
10:06:53,49.7462,13.375,515
10:06:54,49.7461,13.3749,527
10:06:55,49.7461,13.3749,527
10:06:56,49.7461,13.3749,456
10:06:57,49.7461,13.375,505
10:06:58,49.7461,13.375,591
10:06:59,49.7461,13.375,543
10:07:00,49.7461,13.375,429
10:07:01,49.746,13.3749,492
10:07:02,49.746,13.3749,465
10:07:03,49.746,13.3749,587
10:11:21,49.7457,13.3765,536
10:11:22,49.7457,13.3765,449
10:11:23,49.7457,13.3765,371
10:11:24,49.7457,13.3765,398
10:11:25,49.7456,13.3765,423
10:11:26,49.7456,13.3765,388
10:11:27,49.7456,13.3765,388
10:11:28,49.7456,13.3765,475
10:11:29,49.7456,13.3766,464
10:11:30,49.7456,13.3766,561
10:11:31,49.7456,13.3767,561
10:11:32,49.7456,13.3768,563
10:11:34,49.7456,13.3768,533
10:11:35,49.7456,13.3768,411
10:11:36,49.7456,13.3769,438
10:11:37,49.7456,13.3769,530
10:11:38,49.7456,13.3769,622
10:11:39,49.7456,13.3771,566
10:11:40,49.7456,13.3771,710
10:11:41,49.7456,13.3772,541
10:11:43,49.7456,13.3772,520
10:11:44,49.7456,13.3772,472
10:11:46,49.7456,13.3774,443
10:11:47,49.7456,13.3774,559
10:11:48,49.7456,13.3775,566
10:11:49,49.7456,13.3775,566
10:11:50,49.7456,13.3775,550
10:11:51,49.7456,13.3777,407
10:11:52,49.7456,13.3777,428
10:21:47,49.7437,13.3747,447
10:21:48,49.7437,13.3746,413
10:23:50,49.7467,13.3741,645
10:24:12,49.7464,13.375,568
10:24:13,49.7464,13.375,568
10:24:14,49.7464,13.375,418
10:24:15,49.7464,13.375,435
10:24:16,49.7463,13.375,547
10:24:17,49.7463,13.375,481
10:24:18,49.7463,13.375,477
10:24:19,49.7463,13.375,445
10:24:20,49.7462,13.375,551
10:24:21,49.7462,13.375,480
10:24:22,49.7462,13.375,549
10:24:23,49.7462,13.375,533
10:24:24,49.7462,13.375,501
10:24:25,49.7462,13.375,524
10:24:26,49.7461,13.3749,641
10:24:27,49.7461,13.3749,573
